,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT,number_of_genes,total_count_per_cell,non_ERCC_percent,non_mt_percent,non_ribo_percent,outliers,H1975,H2228,HCC827,poor_quality,traj,group,H2228_to_H1975,H2228_to_HCC827,H1975_to_HCC827,cell,celltype,celltype_c,celltype_f
H1975_H2228_HCC827.0_0_9.13,81881,7600,133871,39655,3759,69,15192,4407,17799,0.998932523737888,0.84768807188736,0.859092724820088,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.13,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.14,95486,9532,139822,50470,3330,227,18745,4483,18061,0.998283593932626,0.848236531283851,0.863296127957407,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.14,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.15,110542,12239,171323,57975,4795,93,23350,5307,24102,0.999211683263127,0.845655961809951,0.868226342948161,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.15,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.16,87941,7024,130229,31301,3928,114,7641,4788,19054,0.999317728036466,0.863493229314846,0.85693247773041,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.16,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.17,84831,7627,135487,34298,4539,115,3038,4775,18697,0.998823340108668,0.873562603159029,0.859656169622844,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.17,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.18,42360,3929,74919,18697,2710,115,1620,3206,11038,0.998278672768365,0.872621850994182,0.83556728069643,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.18,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.19,38172,4702,47831,13134,1394,118,8700,2304,6854,0.99591479282767,0.851035890208585,0.850742849806172,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.19,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.20,49563,2894,73062,11412,3146,84,6025,3326,11418,0.998160797864634,0.854878261644002,0.845068448880322,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.20,2,HCC827,HCC827
H1975_H2228_HCC827.0_9_0.56,33073,3679,45101,16055,826,75,5568,2337,6421,0.997663913724242,0.828998597058093,0.864350001012302,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.56,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.57,38762,3667,55455,19404,1417,61,2678,3085,9185,0.998584647796859,0.860860097048601,0.876863498243333,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.57,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.58,303317,40920,133768,407121,2728,67,7375,5454,18155,0.999228862021906,0.873643623864696,0.914898972790431,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.58,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.59,68486,6225,90960,35361,2801,151,6354,3886,13321,0.998423541026632,0.853764731736533,0.863523111235559,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.59,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.60,37595,3170,43965,14988,1815,64,5908,2217,6358,0.997955330295761,0.839572191192872,0.855141781783923,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.60,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.61,27923,2831,38899,13301,837,54,3175,2078,5653,0.997700334339819,0.852644611971264,0.863610713584444,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.61,0,H2228,H2228
H1975_H2228_HCC827.1_1_7.62,164702,19463,212786,102214,6168,26,21918,6175,28350,0.999717812698512,0.855167548199235,0.867089641238222,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.62,2,HCC827,HCC827
H1975_H2228_HCC827.0_9_0.63,52308,4766,72135,22178,1982,43,7976,3195,10434,0.999329115392631,0.840521371630706,0.865630759410811,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.63,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.64,40941,4110,57123,23618,2069,76,1969,2994,8864,0.997856497069205,0.865861912380571,0.863040542598666,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.64,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.65,57100,5763,77401,24994,2317,73,4331,3720,12522,0.998722248044464,0.852339881127344,0.857530061068471,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.65,0,H2228,H2228
H1975_H2228_HCC827.0_9_0.66,23104,2054,31707,11339,1029,54,961,1788,4632,0.998920550520465,0.859455956693748,0.839376426216696,FALSE,0,9,0,NO,YES,0_9_0,0,0,NA,H1975_H2228_HCC827.0_9_0.66,0,H2228,H2228
H1975_H2228_HCC827.1_1_7.67,178688,19205,231396,109080,6134,29,12087,6512,30873,0.999708482816795,0.864347487816426,0.874874202418229,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.67,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.68,82540,8291,133080,30824,3674,121,9976,4527,17120,0.998948597547343,0.856133177070016,0.863726131001092,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.68,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.69,167570,17667,229429,112368,5776,303,40910,6174,29007,0.998724445479117,0.850932533233036,0.888164619517834,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.69,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.70,86141,7448,118263,34419,3229,89,22673,4390,16675,0.99844077901143,0.837361318838164,0.863567698010376,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.70,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.71,128086,12037,196655,48481,5118,22,47004,5179,23935,0.999665761019567,0.821767286057336,0.867306928219374,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.71,2,HCC827,HCC827
H1975_H2228_HCC827.1_7_1.74,26652,1927,35010,12117,867,104,3228,2263,5813,0.996387405820768,0.845346635394209,0.860311611368293,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.74,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.75,31623,3150,31439,14186,789,32,7262,1880,4767,0.998741344663853,0.817914829414905,0.884621597185657,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.75,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.76,49709,5458,44496,43317,1555,104,7579,2662,6964,0.997128085874314,0.833141871290721,0.890722442960306,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.76,0,H2228,H2228
H1975_H2228_HCC827.1_1_7.77,67280,5743,97551,32845,2712,156,14391,3889,14236,0.997681932426467,0.841388029754574,0.845742592201045,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.77,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.78,86484,9268,120497,43138,3744,73,13003,4422,16697,0.999041743427537,0.851649996495388,0.86003422169598,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.78,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.79,75309,6882,114170,35353,3841,75,22748,3997,15742,0.999237707407421,0.837314190803383,0.851860721724862,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.79,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.80,31875,2732,38762,18565,1187,86,4123,2384,6171,0.99740722573747,0.844271591566567,0.861123219699855,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.80,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.81,62948,6120,92625,27578,2935,93,9451,3763,13129,0.998552821236535,0.857491049693434,0.845303644372272,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.81,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.82,331431,30072,512238,146809,16333,160,48655,9048,65749,0.999589347214469,0.86080396646933,0.865442688794858,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.82,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.83,86932,7090,142357,34883,4657,65,16596,4724,19541,0.999232382682958,0.856199784629139,0.849341973623677,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.83,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.84,151298,14585,230870,68539,7243,87,16113,6388,32591,0.99941701666122,0.850971126737145,0.859408775610207,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.84,2,HCC827,HCC827
H1975_H2228_HCC827.1_7_1.85,35113,4892,47448,15760,1138,285,7177,2636,7286,0.994921766408287,0.833790830587715,0.867827521510401,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.85,0,H2228,H2228
H1975_H2228_HCC827.1_1_7.86,16923,1446,22243,7534,604,37,5215,2000,5203,0.998462423604723,0.803382662303704,0.881028481590464,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.86,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.87,75207,6822,120307,40932,3422,67,7985,4379,16746,0.999104263108143,0.861459452489275,0.857637132666229,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.87,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.88,90502,8197,142231,45978,4106,103,5459,4949,20578,0.998979492176606,0.871416074996882,0.845028260750189,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.88,2,HCC827,HCC827
H1975_H2228_HCC827.1_1_7.89,82032,7890,134905,36592,3966,158,9720,4728,19274,0.99844349849619,0.859032893608471,0.848033180433133,FALSE,1,1,7,NO,YES,1_1_7,NA,5,5,H1975_H2228_HCC827.1_1_7.89,2,HCC827,HCC827
H1975_H2228_HCC827.1_7_1.90,27352,2067,38975,11462,984,240,5525,2111,5542,0.995308551073063,0.838325512742105,0.857811516038405,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.90,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.91,38499,3753,45472,22052,1182,81,4830,2467,6553,0.998016174274354,0.84861895185622,0.86525123569169,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.91,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.92,63833,5695,84733,29189,2014,105,4374,3797,12471,0.998556650630618,0.866971372891531,0.870178117089153,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.92,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.93,44044,5050,59866,16986,1997,26,7197,2687,8297,0.999156320357772,0.847535252684663,0.855006803655775,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.93,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.94,106829,9667,132793,45104,4320,109,7476,5189,20478,0.998876842953962,0.861216915293868,0.871520230725544,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.94,0,H2228,H2228
H1975_H2228_HCC827.2_2_5.95,43164,3304,68472,18599,1867,81,8385,2924,9274,0.998706058875667,0.834914814713268,0.860037890836866,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.95,2,HCC827,HCC827
H1975_H2228_HCC827.1_7_1.101,19948,1713,32642,8485,1105,62,1959,2071,5135,0.997663094454405,0.854917232999188,0.85939462630063,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.101,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.102,59990,5754,99496,28925,2590,54,4994,4053,14188,0.999365660417701,0.861643641907497,0.847405661540977,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.102,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.103,38789,3729,49407,19533,1391,21,7034,2602,7238,0.999309200056218,0.831168830020491,0.871924741745314,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.103,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.104,31261,2234,43082,12726,1035,78,3573,2433,6834,0.997951417913445,0.846649106165278,0.849281754050696,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.104,0,H2228,H2228
H1975_H2228_HCC827.2_2_5.105,66604,6039,99275,32617,2751,93,5260,3990,13832,0.998770965154156,0.861480624015702,0.854684170991779,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.105,2,HCC827,HCC827
H1975_H2228_HCC827.1_7_1.106,37382,3514,57552,16984,2057,14,3798,2956,8413,0.999524544158416,0.851063828775628,0.869011210018769,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.106,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.107,46771,4105,62375,26324,2172,224,6139,3178,9924,0.997783150949433,0.845425230909487,0.86446910069619,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.107,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.108,26162,2193,32973,12878,959,26,7613,1756,4446,0.998650470088505,0.802294195226509,0.878315613325206,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.108,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.109,41787,3999,67679,19377,2241,66,3088,3177,9721,0.998456947846459,0.843123134612567,0.859581463243017,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.109,0,H2228,H2228
H1975_H2228_HCC827.1_7_1.110,54513,4811,84887,22916,2915,68,9335,3695,12484,0.998157640981931,0.847084267184328,0.851649429950793,FALSE,1,7,1,NO,YES,1_7_1,1,1,NA,H1975_H2228_HCC827.1_7_1.110,0,H2228,H2228
H1975_H2228_HCC827.2_2_5.111,42263,3406,57131,22380,1670,41,9617,2525,7613,0.998292393276905,0.838040193303507,0.859318456169111,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.111,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.112,56866,5906,82586,28571,2639,100,4497,3513,11145,0.998833556752953,0.856886495417778,0.869896034189292,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.112,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.113,42162,3770,56842,22819,2242,109,2830,3225,9441,0.997669737318431,0.862938247152909,0.857217607014504,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.113,2,HCC827,HCC827
H1975_H2228_HCC827.2_5_2.118,20839,1839,28687,8849,1145,81,2192,1855,4495,0.997107895445811,0.83426028735426,0.863624330090478,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.118,0,H2228,H2228
H1975_H2228_HCC827.2_2_5.119,57511,5685,90126,24688,2410,154,4907,3872,13369,0.999027600419607,0.86289176388444,0.838581166443888,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.119,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.120,25714,2168,36876,13260,1031,35,2958,2276,6020,0.998671094686593,0.844186045109325,0.848171348552577,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.120,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.121,62114,5291,105325,24842,3399,64,7299,4180,15522,0.999162478418269,0.850985697171121,0.854528505006761,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.121,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.122,43175,4517,62748,18978,1696,111,9106,2930,9153,0.998361191960711,0.829564076445358,0.859717185931186,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.122,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.123,185677,17270,276861,76883,8634,79,31879,7262,37469,0.99975980116903,0.844057754185044,0.859697120366938,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.123,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.124,44426,3749,72522,17725,1540,9,8489,3329,10590,0.999716712937,0.848914069075624,0.869120992331452,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.124,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.125,43412,3283,70189,12378,1726,202,11436,3057,10161,0.998031688812094,0.827674440677419,0.843026431427584,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.125,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.126,29684,2741,54235,12935,1627,52,3544,2658,7813,0.998464097019757,0.853065402722302,0.832329665519435,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.126,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.127,191172,15924,300453,76974,8239,88,38294,7057,39588,0.999595836869861,0.846519147002496,0.858492255609716,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.127,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.128,63162,5299,109674,19532,3100,92,6249,4475,16660,0.999519807323217,0.853901560111704,0.855161551523679,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.128,2,HCC827,HCC827
H1975_H2228_HCC827.2_5_2.129,24066,2110,30855,11346,1039,97,3833,2164,5789,0.996890652967886,0.830540679166452,0.848849803334249,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.129,0,H2228,H2228
H1975_H2228_HCC827.2_2_5.130,57956,5040,99632,22042,3878,119,14627,3881,14282,0.999159780843607,0.842529056965041,0.840357904804716,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.130,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.131,65921,6711,89593,33777,2275,68,17521,3598,12432,0.999356498552641,0.824163448500512,0.85287897934445,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.131,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.132,41659,3556,67512,18693,2108,218,8780,3072,9709,0.995571118554361,0.838191367969728,0.855700014728587,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.132,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.133,56952,5233,94471,23527,3074,19,16387,3615,12860,0.999300154743935,0.819129081789169,0.851943349966291,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.133,2,HCC827,HCC827
H1975_H2228_HCC827.2_2_5.134,49541,4807,86592,16440,2974,52,10150,3498,12135,0.9985990927082,0.84400494368026,0.849031026756467,FALSE,2,2,5,NO,YES,2_2_5,NA,4,4,H1975_H2228_HCC827.2_2_5.134,2,HCC827,HCC827
H1975_H2228_HCC827.2_5_2.135,24628,2757,34616,11985,1173,26,3715,2103,5363,0.998508295732783,0.839641989857091,0.863880544694118,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.135,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.136,76072,13777,104779,48242,3242,68,5844,4666,16616,0.998555608450556,0.846714010082623,0.86711551088378,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.136,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.137,39164,3637,52678,18457,1571,136,6195,2755,7794,0.997433922251175,0.84565049929991,0.850653258078961,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.137,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.138,35638,3416,49486,15112,1295,123,5588,2901,8141,0.996683452896839,0.840314456651131,0.871513485427484,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.138,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.139,31046,2116,45513,13378,1176,48,16233,2101,6230,0.998234348317441,0.786035311739911,0.873353333301231,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.139,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.140,151687,14201,193565,61584,5958,29,23883,5950,28440,0.999789029184322,0.849894514469095,0.853199418706252,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.140,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.145,40033,3788,57922,17414,2038,69,4335,2952,8954,0.997654678358661,0.855818627590107,0.834263084361085,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.145,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.146,40996,3057,61362,15555,1412,65,10914,2875,8307,0.999157335982717,0.837486456196598,0.870710400011557,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.146,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.147,31843,2983,43058,13942,1150,51,7282,2322,6539,0.998317784067414,0.823673343288464,0.853187256174864,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.147,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.148,24785,2309,39693,10025,1022,48,5455,2093,5730,0.998603837698772,0.843280975840696,0.86422187744873,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.148,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.149,52600,5608,58946,25871,1513,156,9178,3167,9547,0.996962395520098,0.826961348248705,0.863097451453387,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.149,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.150,26042,2170,39561,10433,1201,23,2333,2505,6904,0.998841250001678,0.850376592047543,0.844147097121818,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.150,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.151,50686,4804,64314,20736,1870,18,9061,4132,13715,0.999562522056462,0.826102806543126,0.873058058287963,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.151,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.152,64335,6270,105351,35610,3561,75,5733,4523,16240,0.999014777709966,0.860160097992512,0.852831987172422,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.152,0,H2228,H2228
H1975_H2228_HCC827.2_5_2.153,57330,4483,99552,19033,2666,101,7335,4054,14170,0.998023993649948,0.849894141954909,0.854198409175435,FALSE,2,5,2,NO,YES,2_5_2,2,2,NA,H1975_H2228_HCC827.2_5_2.153,0,H2228,H2228
H1975_H2228_HCC827.3_3_3.154,52260,3910,51440,16317,1909,94,5959,2715,8012,0.997129304796394,0.843859210129981,0.850223601817771,FALSE,3,3,3,NO,YES,3_3_3,3,3,3,H1975_H2228_HCC827.3_3_3.154,0,H2228,H2228
